"texto_pregunta",tema_id,"opciones",indices_correctos,"explicacion",dificultad
"¿Cuál es el fenómeno que ha obligado a estudiar nuevas medidas para mejorar los subsistemas de memoria?",4,"[""La alta tasa de fallos de memoria caché"", ""La diferencia en el crecimiento de prestaciones entre procesadores y memoria"", ""El alto consumo energético de los sistemas de memoria""]",1,"La gran diferencia en el crecimiento de las prestaciones entre los procesadores y la memoria ha obligado a estudiar nuevas medidas para mejorar los subsistemas de memoria, como se muestra en la página 3 del documento.",dificil
"¿Cuál es la principal característica de la localidad temporal en los sistemas de memoria?",4,"[""Las posiciones de memoria recientemente referenciadas serán referenciadas de nuevo en un futuro próximo"", ""Tendencia a referenciar elementos de memoria cercanos físicamente"", ""Concentración de referencias de memoria en regiones específicas del procesador""]",0,"La localidad temporal se refiere a que las posiciones de memoria recientemente referenciadas serán referenciadas de nuevo en un futuro próximo, mientras que la localidad espacial se refiere a la tendencia a referenciar elementos cercanos a los últimos referenciados.",dificil
"En un sistema con memoria caché, ¿qué significa el término 'penalización por fallo'?",4,"[""El tiempo extra que tarda el procesador en reiniciar sus operaciones tras un error"", ""El tiempo que tarda la caché en buscar un dato en su interior"", ""El tiempo de sustitución de un bloque más el tiempo de acceso al dato""]",2,"La penalización por fallo es el tiempo que toma sustituir un bloque del nivel i más el tiempo de acceso al dato, como se indica en la página 8 del documento.",dificil
"¿Qué ocurre en una caché con política de inclusión multinivel?",4,"[""La caché L1 está contenida en L2"", ""La caché L2 no contiene datos de L1"", ""Los datos se distribuyen aleatoriamente entre L1 y L2""]",0,"En la inclusión multinivel, la caché L1 está contenida en L2 (L2 ↑↑↑ L1), lo que permite determinar la coherencia entre cachés mirando solamente en la L2.",dificil
"¿Qué métrica NO es útil para medir el rendimiento de la caché de segundo nivel?",4,"[""La tasa de fallos global"", ""La tasa de fallos local"", ""El tiempo de acceso medio a memoria""]",1,"La tasa de fallos local para la caché de segundo nivel no es una buena medida para la L2, ya que la caché de primer nivel captura la mayoría de accesos a memoria. La tasa de fallos global es más útil e indica qué fracción de los accesos a memoria que hace la CPU van a memoria principal.",dificil
"¿Qué técnica de optimización del compilador mejora la localidad temporal?",4,"[""Combinación de arrays"", ""Intercambio de iteraciones"", ""Unión de bucles""]",2,"La unión de bucles mejora la localidad temporal, ya que al fusionar el código en un único bucle, los datos que se cargan en caché pueden utilizarse para las distintas operaciones antes de desalojarse, como se explica en la página 35.",dificil
"En una caché con política de post-escritura, ¿qué significa que un bloque tenga el bit de sucio a 1?",4,"[""El bloque pertenece a un programa malicioso"", ""El contenido de la página se ha modificado"", ""La dirección física ha cambiado""]",1,"El bit de sucio que cada página tiene en el TLB significa que el contenido de la página se ha modificado, no que la dirección física haya cambiado, como se menciona en la página 22.",dificil
"¿Qué problema principal tienen las cachés virtuales en relación a los sinónimos o alias?",4,"[""Requieren mayor espacio de almacenamiento"", ""Provocan incoherencias si se modifica uno de los alias"", ""Necesitan traducción de dirección para cada acceso""]",1,"Los sinónimos o alias ocurren cuando se utilizan diferentes direcciones virtuales para la misma dirección física, lo que puede provocar incoherencias si se modifica uno de los alias y el otro mantiene su valor antiguo.",dificil
"¿Cuál es el propósito principal del buffer de escritura en un sistema de memoria?",4,"[""Incrementar la tasa de aciertos"", ""Permitir la continuación de la ejecución mientras se realiza una escritura"", ""Reducir el tamaño de los bloques transferidos""]",1,"El buffer de escritura permite que las escrituras dejen el dato en el buffer, en lugar de esperar a que se escriba en memoria, de forma que las siguientes instrucciones puedan seguir ejecutándose.",dificil
"¿Cuál es la principal ventaja de las cachés indexadas virtualmente y etiquetadas físicamente?",4,"[""Permiten solventar el problema de coherencia entre caches"", ""Permiten simultanear el acceso a la caché con la traducción de la etiqueta"", ""Eliminan la necesidad de traducción de direcciones""]",1,"Estas cachés permiten simultanear el acceso (indexación) a la caché con la traducción de la etiqueta a su dirección física. Finalmente, la comparación de etiquetas se hace con direcciones físicas.",dificil
"¿Cuál es la principal desventaja de implementar un esquema de 'Acierto bajo múltiples fallos' en cachés no bloqueantes?",4,"[""Incrementa significativamente la tasa de fallos de caché"", ""Incrementa la complejidad del controlador de caché"", ""Reduce el ancho de banda disponible para el procesador""]",1,"Implementar un esquema de 'Acierto bajo múltiples fallos' incrementa la complejidad del controlador de caché, pues puede haber varios accesos al mismo tiempo a memoria, lo que aumenta la complejidad del sistema.",dificil
"¿Qué sucede cuando ocurre un fallo de lectura en una caché con buffer de escritura?",4,"[""La lectura debe esperar hasta que se vacíe el buffer de escritura"", ""Se comprueba el buffer de escritura y si no está ahí el dato se continúa con la lectura en memoria"", ""El buffer de escritura se vacía automáticamente para dar prioridad a la lectura""]",1,"Cuando se produce un fallo por una lectura, se comprueba el buffer de escritura y si no está ahí el dato buscado y el sistema de memoria está disponible, se continúa con la lectura en memoria principal.",dificil
"¿Qué técnica de optimización de la memoria principal proporciona mejor ancho de banda con menor coste?",4,"[""Mayor anchura del bus"", ""Memoria entrelazada"", ""Bancos de memoria independientes""]",1,"La técnica de memoria entrelazada es menos costosa que aumentar la anchura del bus y proporciona resultados parecidos en términos de ancho de banda, como se indica en la página 72.",dificil
"¿Cuál es el impacto principal del acceso segmentado a la caché?",4,"[""Reduce la tasa de fallos"", ""Aumenta el ancho de banda pero no disminuye la latencia"", ""Reduce la penalización por fallo""]",1,"El acceso segmentado a las cachés aumenta el ancho de banda de memoria, pero no disminuye la latencia de un acierto en caché, como se explica en la página 58.",dificil
"¿Qué característica principal define a una caché de víctimas?",4,"[""Es un buffer totalmente asociativo que guarda los bloques reemplazados del nivel superior"", ""Es una caché que prioriza los datos más frecuentemente usados"", ""Es un tipo de caché que solo almacena instrucciones""]",0,"Una caché de víctimas consiste en añadir un pequeño buffer totalmente asociativo entre un nivel de caché y el siguiente donde se quedan los datos que se van reemplazando en el nivel superior.",dificil
"¿Cuál es la principal limitación de las cachés indexadas virtualmente y etiquetadas físicamente?",4,"[""El campo índice no puede exceder el campo offset de página"", ""Requieren doble traducción de direcciones"", ""No pueden implementarse en procesadores de 64 bits""]",0,"El problema de estas cachés es que el campo índice no puede exceder el campo offset, lo que se traduce en una limitación en el tamaño efectivo de las cachés.",dificil
"¿Qué técnica de prebúsqueda es más efectiva para accesos con patrón no secuencial?",4,"[""Prebúsqueda con stride"", ""Prebúsqueda etiquetada"", ""Prebúsqueda simple del bloque siguiente""]",0,"La prebúsqueda con stride es más efectiva para patrones de acceso no secuenciales, ya que en lugar de prebuscar el bloque i+1, busca i+x (donde x es el stride o zancada), lo que permite adaptarse a patrones regulares pero no consecutivos.",dificil
"¿Qué problema resuelve la técnica de 'blocking' en la optimización del compilador?",4,"[""Reduce la tasa de fallos al mejorar la localidad temporal en accesos a arrays multidimensionales"", ""Elimina código redundante en bucles anidados"", ""Optimiza el uso de registros del procesador""]",0,"El 'blocking' reduce la tasa de fallos al mejorar la localidad temporal, especialmente útil cuando se usan varios arrays accedidos por filas y otros por columnas, como en operaciones con matrices.",dificil
"¿Qué solución se emplea para abordar el problema de los cambios de contexto en cachés virtuales?",4,"[""Vaciar completamente la caché en cada cambio de contexto"", ""Añadir un campo PID a la etiqueta"", ""Usar solo cachés físicas en sistemas multiproceso""]",1,"Para solucionar el problema de los cambios de contexto en cachés virtuales, se añade a la etiqueta un campo PID que asigna el SO, de forma que sólo necesita vaciar la caché cuando se reutilice un PID, como se explica en la página 63.",dificil
"En el contexto de la jerarquía de memoria, ¿qué significa el principio de 'inclusión'?",4,"[""Cualquier información almacenada en un nivel debe encontrarse también en los niveles inferiores"", ""Los niveles superiores deben contener todos los datos de los niveles inferiores"", ""La información debe estar distribuida de manera uniforme en todos los niveles""]",0,"El principio de inclusión establece que cualquier información almacenada en un nivel de memoria debe encontrarse también en los niveles inferiores, como se explica en la página 7 del documento.",dificil
