texto_pregunta,tema_id,opciones,indices_correctos,explicacion
"En un sistema de procesamiento por lotes de segunda generación, ¿cuál era la principal desventaja del mecanismo de operación en línea (on-line) frente a la operación fuera de línea (off-line)?",1,"[""La operación en línea requería que los programadores tuvieran más conocimientos técnicos que la operación fuera de línea"", ""En la operación en línea, la CPU permanecía ociosa durante las operaciones de E/S, desaprovechando un recurso caro""]",1,"Como se explica en la sección 1.3.2, en la operación en línea la CPU interactuaba directamente con los dispositivos de E/S lentos como el lector de tarjetas o la impresora, lo que provocaba que la CPU tuviera que esperar a que finalizara cada operación de E/S. Esta espera generaba períodos en los que la CPU se encontraba ociosa y, por tanto, infrautilizada, algo poco deseable dado que era un recurso muy caro. La operación fuera de línea solucionaba este problema haciendo que la CPU interactuara con dispositivos más rápidos como las cintas magnéticas, permitiendo un mejor aprovechamiento del recurso más costoso (la CPU)."
"¿Cuál de los siguientes mecanismos hardware NO es necesario para garantizar la protección del sistema operativo?",1,"[""Interrupciones periódicas"", ""Memoria virtual""]",1,"Según la sección 1.2, los tres mecanismos hardware básicos necesarios para garantizar la protección del sistema operativo son: (1) modos de ejecución del procesador (modo núcleo y modo usuario), (2) protección de la memoria, y (3) interrupciones periódicas. La memoria virtual, aunque es un componente importante en sistemas operativos modernos, no es uno de los tres mecanismos básicos de protección mencionados en el texto. La memoria virtual es una técnica para gestionar la memoria que permite ejecutar programas más grandes que la memoria física disponible, pero no es imprescindible para proteger al sistema operativo del resto de programas."
"¿Qué diferencia fundamental hay entre un sistema operativo monolítico y uno basado en micronúcleo en cuanto a la ejecución de los componentes del sistema?",1,"[""En un sistema monolítico, todos los componentes se ejecutan en modo núcleo, mientras que en un sistema de micronúcleo, muchos servicios se ejecutan como procesos en modo usuario"", ""En un sistema monolítico, cada componente tiene su propio espacio de direcciones, mientras que en un sistema de micronúcleo todos comparten el mismo espacio""]",0,"Como se describe en la sección 1.6.3, en un sistema basado en micronúcleo, la mayoría de las funciones del sistema operativo se implementan en procesos de usuario (servidores), que se ejecutan en modo usuario, manteniendo un núcleo mínimo. En cambio, en un sistema monolítico (sección 1.6.1), todos los componentes del sistema operativo forman parte del núcleo y se ejecutan en modo núcleo, sin distinción. Esta es una diferencia arquitectónica fundamental que afecta a la seguridad, mantenibilidad y robustez del sistema."
"En el contexto de la protección en sistemas operativos, ¿por qué los tres mecanismos de protección (modos de ejecución, protección de memoria e interrupciones periódicas) deben funcionar de forma conjunta?",1,"[""Porque cada mecanismo protege contra un tipo diferente de ataque externo al sistema"", ""Porque si falta alguno de los tres, los demás podrían ser deshabilitados por un programa malicioso""]",1,"Como se explica en la sección 1.2, la protección solo funciona si los tres mecanismos mencionados existen y se usan de forma conjunta. Por ejemplo, si existen las interrupciones periódicas y la protección de memoria, pero el procesador no dispone de dos modos de funcionamiento, cualquier programa podría cambiar la configuración tanto de la protección de memoria como de las interrupciones, haciendo que estas dejen de desempeñar su función. Es decir, la ausencia de uno de los mecanismos permitiría a un programa malicioso deshabilitar los otros mecanismos de protección."
"¿Cuál es la principal diferencia entre los sistemas operativos de red y los sistemas operativos distribuidos?",1,"[""Los sistemas operativos de red no ofrecen servicios de comunicación entre máquinas mientras que los distribuidos sí"", ""En los sistemas operativos de red los usuarios son conscientes de la existencia de múltiples computadoras, mientras que en los distribuidos se ofrece una imagen única del sistema""]",1,"Según la sección 1.4.3, la principal diferencia es que en los sistemas operativos de red (sección 1.4.2), los usuarios son conscientes de la existencia de varios ordenadores conectados mediante una red, mientras que los sistemas operativos distribuidos son vistos por los usuarios como un sistema tradicional, con un único computador y un único sistema operativo, ofreciendo así una imagen única del sistema. Esta transparencia de localización hace que el usuario no sea consciente de dónde se ejecutan sus programas ni dónde se encuentran sus ficheros."
"En el modelo cliente-servidor con micronúcleo, ¿cómo se resuelve el problema de que los servidores ejecutándose en modo usuario necesiten realizar operaciones privilegiadas?",1,"[""No es posible resolverlo; los servidores que necesitan realizar operaciones privilegiadas deben ejecutarse siempre en modo núcleo"", ""Mediante mensajes especiales enviados por los servidores al micronúcleo, que ejecuta las operaciones privilegiadas tras verificar los permisos""]",1,"Como se explica en la sección 1.6.3, existen dos soluciones principales para este problema: incluir el servidor en el núcleo (lo que elimina la ventaja de protección) o utilizar mensajes especiales que captura el micronúcleo para procesarlos él mismo. La segunda opción es preferible porque mantiene todas las ventajas de ejecutar los servidores en modo usuario. En este caso, el micronúcleo no solo realizará las operaciones privilegiadas en nombre de los servidores, sino que también verificará si el servidor que envía una solicitud tiene permiso para hacerlo."
"¿Qué innovación fundamental introducida en los sistemas de la segunda generación (1955-1965) permitió a los programadores dejar de preocuparse por el tipo específico de dispositivo de E/S que utilizaban?",1,"[""El sistema de interrupciones"", ""La independencia de dispositivo de E/S""]",1,"Como se menciona en la sección 1.3.2, la operación fuera de línea dio lugar a la independencia de dispositivo de E/S. Esta idea permitía que los programas se escribieran para usar dispositivos lógicos de E/S creados por el sistema operativo, siendo este el que hacía corresponder los dispositivos lógicos con los físicos. Gracias a esto, los programadores no necesitaban conocer si los datos se leían de una tarjeta o una cinta, o si se escribían en una impresora o en una cinta, ya que el acceso a los dispositivos lógicos siempre se hacía de la misma manera."
"¿Cuál de las siguientes afirmaciones acerca de los sistemas operativos de tiempo real es FALSA?",1,"[""Los sistemas de tiempo real rigurosos pueden permitir ocasionalmente el incumplimiento de plazos si el sistema está sobrecargado"", ""El parámetro clave en los sistemas de tiempo real son las restricciones temporales""]",0,"Según la sección 1.4.4, los sistemas operativos de tiempo real rigurosos requieren que una acción se realice necesariamente en cierto momento o intervalo, y de no cumplirse esta restricción, se pueden producir situaciones críticas que pueden poner el sistema en peligro. Son los sistemas de tiempo real no rigurosos los que pueden aceptar no cumplir ocasionalmente un plazo. Por tanto, la primera opción es falsa, ya que confunde las características de los sistemas rigurosos con las de los no rigurosos."
"¿Qué implica técnicamente la "transparencia de localización" en un sistema operativo distribuido?",1,"[""El cifrado de las comunicaciones para que no sean visibles para usuarios no autorizados"", ""Que el usuario no es consciente de dónde se ejecutan sus programas ni dónde se encuentran sus ficheros""]",1,"Como se indica en la sección 1.4.3 la transparencia de localización en sistemas operativos distribuidos significa que el usuario no es consciente del lugar donde se ejecutan sus programas ni dónde se encuentran sus ficheros. Esto es parte del concepto de "imagen única del sistema" que ofrecen estos sistemas operativos haciendo que todo el sistema distribuido aparezca ante el usuario como un único sistema tradicional."
"¿Cuál era la principal ventaja que ofrecía el mecanismo de spooler sobre el uso simple de buffers en los sistemas de segunda generación?",1,"[""Los spoolers permitían la superposición de la E/S de unos programas con el cómputo de otros, mientras que los buffers solo permitían solapar E/S y cómputo dentro del mismo programa"", ""Los spoolers consumían menos memoria que los buffers, permitiendo ejecutar programas más grandes""]",0,"Según la sección 1.3.2, la diferencia fundamental entre buffers y spoolers es que los buffers permitían que la E/S de un programa se realizara de forma simultánea con el cómputo del mismo programa. En cambio, el mecanismo de spooler permitía la superposición de la E/S de unos programas con el cómputo de otro, obteniendo un beneficio similar al de las operaciones fuera de línea. Esto era posible porque el spooler almacenaba temporalmente en disco los datos de entrada/salida, permitiendo que un programa pudiera continuar su procesamiento mientras otro realizaba operaciones de E/S."
"En un sistema operativo por capas, ¿qué ocurre cuando una capa necesita acceder a funcionalidades que están implementadas en capas no adyacentes?",1,"[""La capa debe implementar su propia versión de esas funcionalidades, ya que no puede acceder directamente a capas no adyacentes"", ""La capa solo puede acceder a esas funcionalidades a través de la interfaz proporcionada por la capa inmediatamente inferior""]",1,"Según la sección 1.6.2, en el diseño modular por capas, cada capa solo utiliza las funciones y servicios de la capa inmediatamente inferior. Esto significa que si una capa necesita acceder a una funcionalidad implementada en una capa no adyacente (más inferior), debe hacerlo a través de la interfaz que proporciona su capa inmediatamente inferior, y así sucesivamente hasta llegar a la capa que implementa dicha funcionalidad. Esta restricción es parte del diseño que aumenta la modularidad, pero también es una de las dificultades de este enfoque, ya que pueden surgir problemas de dependencias entre capas."
