texto_pregunta,tema_id,opciones,indices_correctos,explicacion,dificultad
"La función fork() en Unix crea una copia del proceso padre donde el hijo comparte todos los segmentos con su padre.",2,"[""Verdadero"",""Falso""]",1,"Según el apartado 2.3.1, cuando se ejecuta fork(), se asigna memoria para los segmentos de datos y pila del hijo, copiando los del padre. Solo el segmento de código es compartido por razones de seguridad al ser de solo lectura.",dificil
"En el modelo de procesos de Unix, cuando un proceso realiza una llamada al sistema, se considera que:",2,"[""Se produce un cambio de proceso."",""Se mantiene en el mismo proceso pero cambia de modo usuario a modo núcleo.""]",1,"Según el apartado 2.3.2, en Unix cuando un proceso realiza una llamada al sistema, se considera que ese mismo proceso pasa de modo usuario a modo núcleo y ejecuta el código del sistema operativo.",dificil
"En la implementación de hilos en modo núcleo, si un hilo se bloquea por una llamada al sistema:",2,"[""Todos los hilos del mismo proceso también se bloquean."",""Otros hilos del mismo proceso pueden continuar ejecutándose.""]",1,"Según el apartado 2.4.3, una de las ventajas de implementar hilos en modo núcleo es que las llamadas al sistema bloqueantes no suponen un problema. Si un hilo se bloquea, el núcleo puede dar la CPU a otro hilo del mismo proceso o de otro proceso.",dificil
"Un cambio de contexto siempre implica un cambio de proceso, pero no al revés.",2,"[""Verdadero"",""Falso""]",1,"Según el apartado 2.1.2, un cambio de proceso siempre conlleva uno o más cambios de contexto, pero no al contrario. Por ejemplo, cuando un proceso realiza una llamada al sistema, se cambia de contexto sin cambiar de proceso.",dificil
"La planificación SJF (Shortest Job First) es apropiativa.",2,"[""Verdadero"",""Falso""]",1,"Según el apartado 2.5.4, el algoritmo SJF es no apropiativo. La versión apropiativa se denomina SRTF (Shortest-Remaining-Time First).",dificil
"En la planificación de múltiples colas con realimentación, los procesos:",2,"[""Solo pueden estar en una cola específica durante toda su ejecución."",""Pueden moverse entre diferentes colas según ciertos criterios.""]",1,"Según el apartado 2.5.4, en la planificación de múltiples colas con realimentación los procesos pueden cambiar de una cola a otra según criterios establecidos como tipo de proceso, consumo de CPU, etc.",dificil
"En la llamada al sistema execve() de Unix:",2,"[""Se crea un nuevo proceso independiente del que realiza la llamada."",""El proceso que realiza la llamada sufre una mutación completa sin crear un nuevo proceso.""]",1,"Según el apartado 2.1.3, execve() no crea un nuevo proceso, sino que simplemente cambia el código y los datos por otros dentro del mismo proceso. El proceso sufre una mutación completa pero sigue siendo el mismo proceso.",dificil
"Un proceso en estado 'bloqueado suspendido' puede pasar directamente al estado:",2,"[""En ejecución"",""Listo suspendido""]",1,"Según la figura 2.5 del apartado 2.2, un proceso en estado 'bloqueado suspendido' puede pasar al estado 'listo suspendido' cuando el evento por el que se bloqueó se produce mientras está suspendido.",dificil
"La eficiencia en la planificación de procesos se define como:",2,"[""El porcentaje de procesos que terminan su ejecución correctamente."",""El porcentaje de tiempo que la CPU está realizando trabajo útil respecto al tiempo total.""]",1,"Según el apartado 2.5.1, la eficiencia se define como (Tiempo_útil/Tiempo_total)×100, donde el tiempo total incluye tiempo útil, tiempo de gestión y tiempo ocioso.",dificil
"En la creación de un proceso mediante fork() en Unix, el segmento de código:",2,"[""Se copia del padre al hijo."",""Es compartido entre padre e hijo.""]",1,"Según el apartado 2.3.1, como el segmento de código es de solo lectura (por razones de seguridad), este segmento es compartido por padre e hijo al ejecutar fork().",dificil
"El BCP (Bloque de Control de Proceso) contiene:",2,"[""Solo la información necesaria para que el proceso continúe su ejecución tras perder la CPU."",""Además de la información para continuar la ejecución, también contiene datos estadísticos y de otro tipo.""]",1,"Según el apartado 2.3, en el PCB (o BCP en español) se guarda, al menos, todo aquello necesario para que el proceso continúe su ejecución tras perder la CPU, pero también se suelen guardar datos estadísticos y de otro tipo.",dificil
"Cuando un proceso padre en Unix realiza un fork() y luego el proceso hijo ejecuta execve():",2,"[""El hijo mantiene los mismos ficheros abiertos que tenía el padre."",""El hijo cierra todos los ficheros que tenía abiertos el padre.""]",0,"Según el apartado 2.1.3, cuando se ejecuta execve(), se conservan los ficheros abiertos, aunque hay una forma de especificar el cierre de ciertos descriptores de ficheros al emitir la llamada.",dificil
"En la planificación round robin con un quantum grande:",2,"[""Mejora el tiempo de respuesta para procesos interactivos."",""Disminuye el número de cambios de proceso pero empeora el tiempo de respuesta.""]",1,"Según el apartado 2.5.4, si el quantum es grande, la CPU se desperdicia poco al reducirse el número de cambios de proceso, pero los últimos procesos de la lista tardan mucho en ser atendidos, lo que puede suponer tiempos de respuesta muy pobres para procesos interactivos.",dificil
"Un proceso limitado por E/S típicamente:",2,"[""Tiene pocas ráfagas de CPU de larga duración."",""Tiene muchas ráfagas de CPU aunque breves.""]",1,"Según el apartado 2.5.3, un proceso limitado por E/S pasa la mayor parte de su tiempo en espera de operaciones de E/S y normalmente tendrá muchas ráfagas de CPU aunque breves.",dificil
"La ventaja principal de los hilos implementados en modo usuario respecto a los implementados en modo núcleo es:",2,"[""Mejor solapamiento de E/S con cómputo."",""Los cambios de contexto entre hilos son mucho más rápidos.""]",1,"Según el apartado 2.4.3, una de las ventajas de los hilos en modo usuario es que los cambios de contexto entre hilos son mucho más rápidos, ya que no es necesario pasar al núcleo del sistema operativo para realizarlos.",dificil
