texto_pregunta,tema_id,opciones,indices_correctos,explicacion,dificultad
"En el ámbito de los sistemas operativos, ¿cuál es la diferencia fundamental entre seguridad y protección?",3,"[""La protección tiene carácter interno (tarea del sistema operativo) mientras que la seguridad abarca aspectos más generales incluida la protección."",""La seguridad tiene carácter interno mientras que la protección abarca aspectos más generales como la política de copias de seguridad.""]",0,"Según el apartado 3.1, la protección tiene carácter interno, siendo una tarea del sistema operativo, mientras que la seguridad tiene un carácter más general que incluye la protección y otros aspectos como la política de copias de seguridad, la localización física del sistema, etc.",dificil
"Cuando un atacante consigue leer un elemento del sistema pero no lo modifica, ¿qué tipo de amenaza representa según la clasificación vista en el tema?",3,"[""Intercepción"",""Modificación""]",0,"Según el apartado 3.2.2, la intercepción se produce cuando una parte no autorizada consigue leer un elemento, constituyendo una amenaza a la confidencialidad, como la copia ilícita de programas o ficheros.",dificil
"Cuando un atacante no solo accede a un elemento sino que también lo falsifica, ¿a qué requisito de seguridad afecta principalmente?",3,"[""Integridad"",""Disponibilidad""]",0,"Según el apartado 3.2.2, la modificación ocurre cuando una parte no autorizada no solo consigue acceder, sino que también es capaz de falsificar un elemento, constituyendo una amenaza a la integridad.",dificil
"¿Qué tipo de amenaza a la seguridad sería la inserción de registros falsos en un fichero?",3,"[""Invención"",""Interrupción""]",0,"Según el apartado 3.2.2, la invención se produce cuando una parte no autorizada inserta objetos falsos en el sistema, como añadir registros a un fichero, constituyendo una amenaza a la integridad.",dificil
"Según los principios de diseño para la seguridad, ¿cuál debería ser el estado predefinido de acceso en un sistema seguro?",3,"[""No acceso"",""Acceso con permisos básicos""]",0,"Según el apartado 3.2.6, uno de los principios de diseño para seguridad establece que el estado predefinido debe ser el de 'no acceso'.",dificil
"En los sistemas operativos, ¿qué mecanismo ayuda a asegurar que un proceso únicamente se puede ejecutar dentro de su espacio de direcciones?",3,"[""Hardware de direccionamiento de memoria"",""Modo dual""]",0,"Según el apartado 3.3, el hardware de direccionamiento de memoria es el mecanismo que asegura que un proceso únicamente se puede ejecutar dentro de su espacio de direcciones.",dificil
"¿Cuál es el concepto que representa un conjunto de parejas (objeto, derechos) en un sistema de protección?",3,"[""Dominio de protección"",""Matriz de acceso""]",0,"Según el apartado 3.3.2, un dominio de protección o simplemente dominio es un conjunto de parejas (objeto, derechos), donde un derecho representa el permiso para realizar alguna operación sobre un objeto concreto.",dificil
"En un sistema con listas de control de acceso, ¿cómo se almacena la matriz de protección?",3,"[""Por columnas, asociando a cada objeto una lista con los dominios que pueden acceder a él"",""Por filas, asociando a cada dominio una lista de objetos a los que puede acceder""]",0,"Según el apartado 3.3.4, en las listas de control de acceso (ACL), la matriz de protección se almacena por columnas, es decir, se asocia a cada objeto una lista con todos los dominios que pueden acceder al objeto y los derechos concretos de cada dominio.",dificil
"En un sistema basado en capacidades, ¿a qué se asocian normalmente las listas de posibilidades?",3,"[""A los procesos"",""A los objetos""]",0,"Según el apartado 3.3.5, las listas de posibilidades o capacidades se suelen asociar a procesos, teniendo cada proceso su propia lista de posibilidades que le permiten acceder a ciertos objetos.",dificil
"Con respecto a la cancelación de derechos, ¿qué sistema presenta mayores dificultades?",3,"[""Las posibilidades o capacidades"",""Las listas de control de acceso""]",0,"Según el apartado 3.3.7, las posibilidades presentan un problema de cancelación más difícil, ya que al estar distribuidas por el sistema, es necesario localizarlas todas antes de poder cancelarlas.",dificil
"En el sistema de autenticación de Unix, ¿dónde se almacenan actualmente las contraseñas cifradas de los usuarios?",3,"[""/etc/shadow"",""/etc/passwd""]",0,"Según el apartado 3.4.1, originalmente las contraseñas cifradas se guardaban en /etc/passwd, pero como ese fichero necesita tener permisos de lectura para todos los usuarios, en la actualidad se almacenan en /etc/shadow, al que no pueden acceder los usuarios que no son administradores.",dificil
"En Unix, ¿qué define exactamente un dominio de protección?",3,"[""Un par de valores (UID, GID)"",""Un conjunto de permisos rwx sobre un objeto""]",0,"Según el apartado 3.5.1, cada par de valores (UID, GID) define un dominio en Unix, ya que determina qué ficheros o dispositivos puede usar un proceso y con qué permisos.",dificil
"En el sistema de permisos de Unix, ¿qué ocurre si el UID de un proceso coincide con el UID de un fichero al que quiere acceder?",3,"[""Se consultan los permisos del fichero asociados al usuario propietario, ignorando el resto"",""Se consultan los permisos del fichero asociados al grupo propietario""]",0,"Según el apartado 3.5.2, si el UID del proceso coincide con el UID del fichero, se consultan los permisos del fichero asociados al usuario propietario, ignorando el resto de permisos.",dificil
"¿Qué ocurre cuando un proceso en Unix ejecuta un programa con el bit SETUID activo?",3,"[""El proceso cambia su UID efectivo por el del propietario del fichero ejecutable"",""El proceso cambia su GID efectivo por el del grupo propietario del fichero ejecutable""]",0,"Según el apartado 3.5.3, si un proceso realiza execve() y el ejecutable tiene activo el bit SETUID, entonces el proceso cambiará su UID por el del usuario propietario del fichero ejecutable.",dificil
"¿Qué función en C permite a un programa de Unix conocer su UID real?",3,"[""getuid()"",""geteuid()""]",0,"Según el apartado 3.5.3, un programa en C puede usar la función getuid() para conocer su usuario real.",dificil
"¿En qué momento se crea una capacidad o entrada en la tabla de ficheros abiertos de un proceso en Unix?",3,"[""Cuando un proceso abre un fichero y tiene los permisos necesarios"",""Cuando un proceso intenta acceder a un fichero ya abierto""]",0,"Según el apartado 3.5.4, cuando un proceso quiere abrir un fichero, se comprueba la ACL para ver si tiene acceso, y en caso afirmativo, se crea una entrada en la tabla de ficheros abiertos (que funciona como una capacidad).",dificil
"¿Qué requisito de seguridad se ve comprometido cuando un atacante destruye un disco duro o corta una línea de comunicaciones?",3,"[""Disponibilidad"",""Confidencialidad""]",0,"Según el apartado 3.2.2, la interrupción se produce cuando se destruye un elemento del sistema, se hace inaccesible o inútil, constituyendo una amenaza a la disponibilidad.",dificil
"Cuando un programa muestra en pantalla el mensaje 'login:' e intenta capturar credenciales, ¿qué tipo de ataque genérico a la seguridad está realizando?",3,"[""Engaño al usuario"",""Desbordamiento de buffer""]",0,"Según el apartado 3.2.4, uno de los ataques genéricos es engañar al usuario escribiendo un programa que muestre el mensaje login: en la pantalla para que muchos usuarios introduzcan su nombre y contraseña, que serán registrados por el programa malicioso.",dificil
"¿Qué tipo de programa malicioso se caracteriza por activarse en determinados instantes de tiempo y que habitualmente es creado por el propio desarrollador del programa?",3,"[""Bomba lógica"",""Caballo de Troya""]",0,"Según el apartado 3.2.5, las bombas lógicas 'estallan' en determinados instantes de tiempo y en muchas ocasiones son creadas por el propio desarrollador del programa para 'protegerse' ante determinadas situaciones, como un despido.",dificil
"En un sistema operativo, el hardware de direccionamiento de memoria, el cronómetro y el modo dual son mecanismos que ayudan principalmente a:",3,"[""Proteger el sistema de los procesos que se ejecutan en él"",""Compartir recursos entre múltiples usuarios""]",0,"Según el apartado 3.3, el hardware proporciona estos tres mecanismos que ayudan al sistema operativo a proteger el sistema de los procesos que se ejecutan en él.",dificil
"En el contexto de la protección en sistemas operativos, ¿cuál es la diferencia entre política y mecanismo?",3,"[""La política indica qué operaciones realizar sobre qué elementos y el mecanismo especifica cómo el sistema hará cumplir la política"",""El mecanismo indica qué operaciones realizar sobre qué elementos y la política especifica cómo el sistema hará cumplir el mecanismo""]",0,"Según el apartado 3.3.1, la política indica qué operaciones será posible realizar sobre qué elementos, mientras que el mecanismo especifica cómo el sistema hará cumplir la política. En otras palabras, el mecanismo es el encargado de llevar a cabo la política.",dificil
"¿Qué característica hace que las listas de posibilidades sean útiles para conocer a qué objetos puede acceder un proceso?",3,"[""La matriz de protección se almacena por filas, asociando a cada proceso los objetos a los que puede acceder"",""La matriz de protección se almacena por columnas, asociando a cada objeto los procesos que pueden acceder a él""]",0,"Según el apartado 3.3.6, las listas de posibilidades son útiles para saber a qué objetos puede acceder un proceso y qué operaciones puede realizar sobre ellos, ya que almacenan la matriz de protección por filas.",dificil
"Cuando los bits SETUID y SETGID no están activos en un ejecutable, ¿qué ocurre con los identificadores de usuario y grupo de un proceso que ejecuta ese programa?",3,"[""El proceso conserva su UID y GID originales"",""El proceso cambia su UID y GID a los del usuario y grupo que ejecutaron el programa""]",0,"Según el apartado 3.5.3, si los bits SETUID y SETGID no están activos, el proceso conservará su UID y GID originales y, por tanto, su dominio, al realizar la llamada execve().",dificil
"¿Cuál sería el efecto principal de un ataque mediante desbordamiento de buffer?",3,"[""Ejecutar código malicioso que no estaba previsto en el programa original"",""Denegar el servicio consumiendo toda la memoria disponible""]",0,"Según el apartado 3.2.5, un desbordamiento de buffer sobrescribe la pila de una función para que, cuando termine, no regrese al punto desde el que se la invocó, sino a un código cuidadosamente preparado, que suele usarse para convertirse en administrador del sistema.",dificil
"¿Cuál de las siguientes opciones NO es una característica que se ve afectada por un virus informático?",3,"[""La velocidad del procesador"",""La integridad de los programas""]",0,"Según el apartado 3.2.5, los virus son programas que se extienden copiándose a otros programas, afectando su integridad, pero no afectan directamente la velocidad del procesador, que es una característica de hardware.",dificil
"La diferencia entre un virus y un gusano informático es que:",3,"[""El virus se encuentra dentro de un programa y se copia a otros programas, mientras que el gusano es un programa independiente que se copia a sí mismo entre ordenadores"",""El virus afecta al hardware mientras que el gusano solo afecta al software""]",0,"Según el apartado 3.2.5, la diferencia entre un virus y un gusano es que el primero se encuentra dentro de un programa y se copia de ahí a otros programas, mientras que el segundo es un programa en sí que se va copiando de un ordenador a otro a través de la red.",dificil
"En la matriz de acceso, ¿qué representa cada una de las celdas?",3,"[""Los derechos correspondientes a un objeto en un dominio específico"",""Los objetos a los que puede acceder un dominio específico""]",0,"Según el apartado 3.3.3, en la matriz de protección o matriz de acceso, cada celda contiene los derechos correspondientes a un objeto en un dominio.",dificil
"En el esquema de contraseñas de Unix, ¿qué función cumple el valor 'base' (salt) en el proceso de cifrado?",3,"[""Impedir que contraseñas iguales se cifren de la misma manera"",""Acelerar el proceso de cifrado de la contraseña""]",0,"Según el apartado 3.4.1, el valor de la base sirve para impedir que contraseñas iguales se cifren de la misma manera. Si dos usuarios eligen la misma contraseña, esta será asignada en momentos diferentes y las bases usadas serán distintas, produciendo resultados de cifrado diferentes.",dificil
"En Unix, ¿qué significan los permisos 'r', 'w' y 'x' cuando se aplican a un directorio?",3,"[""Listar contenido, modificar contenido (crear/borrar/renombrar ficheros) y acceder a los nodos-i de los ficheros"",""Leer ficheros, escribir en ficheros y ejecutar programas dentro del directorio""]",0,"Según el apartado 3.5.2, para directorios el permiso 'r' permite listar su contenido, 'w' permite modificar su contenido (crear, borrar y renombrar ficheros) y 'x' permite acceder a los nodos-i de los ficheros del directorio (consultar atributos, hacer que sea el directorio actual, etc.).",dificil
"Si un usuario quiere conocer su UID y su GID en un sistema Unix, ¿qué comando debe utilizar?",3,"[""id"",""whoami""]",1,"El comando id muestra la información completa de identidad del usuario, incluyendo UID, GID y todos los grupos a los que pertenece. Mientras que whoami solo muestra el nombre de usuario, id proporciona los identificadores numéricos necesarios.",dificil
"¿Cuál de los siguientes ataques específicos a la seguridad permite a un atacante externo acceder al sistema con privilegios de administrador mientras oculta activamente su presencia?",3,"[""Rootkit"",""Spyware""]",1,"Según el apartado 3.2.5, los rootkits son programas que permiten un acceso privilegiado continuo a un computador a la vez que mantienen oculta de forma activa su presencia, permitiendo a un atacante externo acceder al sistema con privilegios de administrador. El spyware recopila información pero no necesariamente proporciona acceso privilegiado.",dificil
